find,verdict,detail,n_compared,n_dirs
walk-00025,EQUIVALENT,8a5b3djm4ns/i176w243c356f-000.tab,64,6
walk-00026,EQUIVALENT,8a3b3d2jkm4ns/i184w245c37hj-000.tab,1,5
walk-00027,EQUIVALENT,9a3bcd2ejm4ns/i103w223c23ci-000.tab,1,1
walk-00028,NEW-vs-DB,fp-hits=0,1,1
walk-00029,NEW-vs-DB,fp-hits=0,0,0
walk-00030,EQUIVALENT,6a4b4d2jkm4ns/i189w249c356f-000.tab,1,1
walk-00031,EQUIVALENT,7a6b3djm4ns/i182w247c389h-000.tab,34,4
walk-00032,EQUIVALENT,7a4b3d2jkm4ns/i187w249c37eg-000.tab,1,2
walk-00033,EQUIVALENT,8a4b3d2jm4ns/i176w231c367g-000.tab,39,6
walk-00034,NEW-vs-DB,fp-hits=0,1,1
walk-00035,NEW-vs-DB,fp-hits=0,40,2
walk-00036,NEW-vs-DB,fp-hits=0,8,1
walk-00037,EQUIVALENT,14a2bcde4n/i134w195c347g-000.tab,2,2
walk-00038,EQUIVALENT,9a4b3djm4ns/i170w229c236g-000.tab,62,7
walk-00039,NEW-vs-DB,fp-hits=0,21,3
walk-00040,NEW-vs-DB,fp-hits=0,21,3
walk-00041,EQUIVALENT,9a4b3djm4ns/i170w239c346c-000.tab,70,7
walk-00042,EQUIVALENT,11a2b2dej3k3n/i72w227c367f-000.tab,6,3
walk-00043,EQUIVALENT,13a3b2dj4n/i16w191c467g-000.tab,121,7
walk-00044,EQUIVALENT,8a5b3djm4ns/i176w243c356f-000.tab,64,6
walk-00045,EQUIVALENT,8a5b3djm4ns/i176w231c38eh-000.tab,56,6
walk-00046,NEW-vs-DB,fp-hits=0,2788,7
walk-00047,NEW-vs-DB,fp-hits=0,257,2
walk-00048,NEW-vs-DB,fp-hits=0,257,2
walk-00049,EQUIVALENT,16a2bd4n/i3w209c23ci-000.tab,2,2
walk-00050,EQUIVALENT,11a3bdhj2m3np/i95w265c367k-000.tab,1,1
walk-00051,EQUIVALENT,9a4b3djm4ns/i170w227c34ej-000.tab,59,7
walk-00052,EQUIVALENT,9a4b3djm4ns/i170w227c356d-000.tab,60,7
walk-00053,EQUIVALENT,6a5b4d2jm4ns/i186w233c27fi-000.tab,6,1
walk-00054,EQUIVALENT,10a3b3djk4ns/i161w223c346c-000.tab,49,9
walk-00055,NEW-vs-DB,fp-hits=0,47,6
walk-00056,NEW-vs-DB,fp-hits=0,40,2
walk-00057,EQUIVALENT,14a2bcde4n/i134w195c346d-000.tab,1,2
walk-00058,NEW-vs-DB,fp-hits=0,21,3
walk-00059,EQUIVALENT,9a4b3djm4ns/i170w229c235i-000.tab,61,7
walk-00060,NEW-vs-DB,fp-hits=0,14,5
walk-00061,EQUIVALENT,9a3b3d2jk4ns/i171w225c479g-000.tab,23,7
walk-00062,EQUIVALENT,10a3b3djk4ns/i161w233c347g-000.tab,54,9
walk-00063,NEW-vs-DB,fp-hits=0,1432,5
walk-00064,NEW-vs-DB,fp-hits=0,427,3
walk-00065,EQUIVALENT,9a4b3djm4ns/i170w231c346d-000.tab,63,7
walk-00066,NEW-vs-DB,fp-hits=0,99,7
walk-00067,EQUIVALENT,7a6b3djm4ns/i182w237c39hi-000.tab,32,4
walk-00068,EQUIVALENT,6a5b4d3j4ns/i205w223c46fi-000.tab,21,2
walk-00069,EQUIVALENT,6a5b4d3j4ns/i205w221c235i-000.tab,19,2
walk-00070,EQUIVALENT,8a4b4d2j4ns/i219w217c347d-000.tab,46,4
walk-00071,EQUIVALENT,9a4b3d2j4ns/i222w211c349g-000.tab,13,2
walk-00072,NEW-vs-DB,fp-hits=0,53,2
walk-00073,EQUIVALENT,8a5b3d2j4ns/i223w215c37eg-000.tab,72,4
walk-00074,EQUIVALENT,7a4b4d3j4ns/i197w219c37eg-000.tab,3,1
walk-00075,NEW-vs-DB,fp-hits=0,5,2
walk-00076,NEW-vs-DB,fp-hits=0,2788,7
walk-00077,NEW-vs-DB,fp-hits=0,427,3
walk-00078,EQUIVALENT,9a4b3djm4ns/i170w237c237g-000.tab,67,7
walk-00079,EQUIVALENT,13a2bcdej4n/i141w193c23ci-000.tab,4,4
walk-00080,EQUIVALENT,13a2bdgjm4n/i139w195c36dj-000.tab,70,4
walk-00081,NEW-vs-DB,fp-hits=0,40,2
walk-00082,NEW-vs-DB,fp-hits=0,2788,7
walk-00083,NEW-vs-DB,fp-hits=0,2788,7
walk-00084,NEW-vs-DB,fp-hits=0,2788,7
walk-00085,NEW-vs-DB,fp-hits=0,257,2
walk-00086,EQUIVALENT,9a4b3djm4ns/i170w233c358h-000.tab,65,7
walk-00087,EQUIVALENT,10a3b3djk4ns/i161w225c48ah-000.tab,51,9
walk-00088,EQUIVALENT,8a4b3dg3j4n/i223w215c37gj-000.tab,1,4
walk-00089,EQUIVALENT,8a5b3djm4ns/i176w233c346i-000.tab,58,6
walk-00090,EQUIVALENT,8a5b3djm4ns/i176w233c236b-000.tab,57,6
walk-00091,NEW-vs-DB,fp-hits=0,0,0
walk-00092,NEW-vs-DB,fp-hits=0,5,5
walk-00093,NEW-vs-DB,fp-hits=0,90,6
walk-00094,NEW-vs-DB,fp-hits=0,4,2
walk-00095,EQUIVALENT,7a4b4d2jk4ns/i181w229c239f-000.tab,22,4
walk-00096,EQUIVALENT,9a4b3djm4ns/i170w229c236g-000.tab,62,7
walk-00097,EQUIVALENT,9a4b3djm4ns/i170w241c48aj-000.tab,72,7
walk-00098,EQUIVALENT,9a4b3djm4ns/i170w243c26fi-000.tab,74,7
walk-00099,EQUIVALENT,12abcdegj4ns/i107w193c37eg-000.tab,17,2
walk-00100,NEW-vs-DB,fp-hits=0,81,9
walk-00101,EQUIVALENT,9a4b3djm4ns/i170w249c49hi-000.tab,78,7
walk-00102,EQUIVALENT,9a4b3djm4ns/i170w239c346c-000.tab,70,7
walk-00103,EQUIVALENT,12a3bdh3m3n/i158w247c37go-000.tab,2,1
walk-00104,EQUIVALENT,6a4bc4d4j4n/i238w227c37eg-000.tab,5,2
walk-00105,NEW-vs-DB,fp-hits=0,2371,8
walk-00106,NEW-vs-DB,fp-hits=0,0,0
walk-00107,NEW-vs-DB,fp-hits=0,144,4
walk-00108,NEW-vs-DB,fp-hits=0,0,0
walk-00109,EQUIVALENT,8a3b3d2jkm4ns/i184w245c37hj-000.tab,1,5
walk-00110,EQUIVALENT,14a2b2dj4n/i8w205c48aj-000.tab,20,5
walk-00111,EQUIVALENT,14a2b2dj4n/i8w209c38eh-000.tab,31,5
walk-00112,EQUIVALENT,9a4b3djm4ns/i170w227c34af-000.tab,58,7
walk-00113,EQUIVALENT,8a5b3djm4ns/i176w233c347d-000.tab,59,6
walk-00114,EQUIVALENT,10a3b3djk4ns/i161w227c35gj-000.tab,52,9
walk-00115,NEW-vs-DB,fp-hits=0,40,2
walk-00116,NEW-vs-DB,fp-hits=0,1,1
walk-00117,EQUIVALENT,12a3b2d2j4n/i27w187c467g-000.tab,1,7
walk-00118,EQUIVALENT,13a3b2dj4n/i16w199c238i-000.tab,142,7
